client_ID,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,gender,marital_status,education_level,country,state,city,city_latitude,city_longitude,employment_type,loan_term_months,loan_to_income_ratio,other_debt,debt_to_income_ratio,open_accounts,credit_utilization_ratio,past_delinquencies
CUST_00001,22,59000,RENT,123,PERSONAL,D,35000,16.02,1,0.59,Y,3,Male,Married,High School,Canada,Ontario,Toronto,43.6532,-79.3832,Self-employed,36,0.593220339,8402.45385,0.735634811,14,0.4955566874,0
CUST_00002,21,9600,OWN,5,EDUCATION,B,1000,11.14,0,0.1,N,2,Female,Divorced,Master,Canada,Ontario,Toronto,43.6532,-79.3832,Full-time,36,0.1041666667,1607.802794,0.2716461244,10,0.5854360216,3
CUST_00003,25,9600,MORTGAGE,1,MEDICAL,C,5500,12.87,1,0.57,N,3,Female,Married,Master,UK,Wales,Swansea,51.6214,-3.9436,Full-time,36,0.5729166667,2760.505633,0.8604693368,14,0.750731837,0
CUST_00004,23,65500,RENT,4,MEDICAL,C,35000,15.23,1,0.53,N,2,Male,Married,Bachelor,Canada,BC,Vancouver,49.2827,-123.1207,Part-time,12,0.534351145,7155.28615,0.643592155,15,0.3793334268,0
CUST_00005,24,54400,RENT,8,MEDICAL,C,35000,14.27,1,0.55,Y,4,Female,Single,Bachelor,USA,New York,Buffalo,42.8864,-78.8784,Part-time,36,0.6433823529,15626.15344,0.9306278206,4,0.228102707,0
CUST_00006,21,9900,OWN,2,VENTURE,A,2500,7.14,1,0.25,N,2,Male,Single,High School,USA,California,San Francisco,37.7749,-122.4194,Full-time,36,0.2525252525,2211.741134,0.4759334478,10,0.8270339994,0
CUST_00007,26,77100,RENT,8,EDUCATION,B,35000,12.42,1,0.45,N,3,Female,Widowed,High School,Canada,Ontario,Toronto,43.6532,-79.3832,Self-employed,36,0.4539559014,21503.49572,0.7328598667,15,0.1903369869,1
CUST_00008,24,78956,RENT,5,MEDICAL,B,35000,11.11,1,0.44,N,4,Female,Single,High School,Canada,Quebec,Quebec City,46.8139,-71.208,Self-employed,36,0.4432848675,14338.76103,0.6248893185,6,0.850098005,0
CUST_00009,24,83000,RENT,8,PERSONAL,A,35000,8.9,1,0.42,N,2,Female,Married,Master,USA,Texas,Dallas,32.7767,-96.797,Part-time,24,0.421686747,22017.85961,0.6869621639,10,0.8765322821,1
CUST_00010,21,10000,OWN,6,VENTURE,D,1600,14.74,1,0.16,N,3,Male,Single,Bachelor,UK,Scotland,Glasgow,55.8642,-4.2518,Part-time,24,0.16,1513.559984,0.3113559984,11,0.586626497,0
CUST_00011,22,85000,RENT,6,VENTURE,B,35000,10.37,1,0.41,N,4,Female,Widowed,Master,UK,England,London,51.5074,-0.1278,Full-time,60,0.4117647059,18584.00918,0.630400108,15,0.5898602751,1
CUST_00012,21,10000,OWN,2,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,Female,Single,Bachelor,Canada,Quebec,Montreal,45.5017,-73.5673,Self-employed,60,0.45,2768.360555,0.7268360555,12,0.1409766439,1
CUST_00013,23,95000,RENT,2,VENTURE,A,35000,7.9,1,0.37,N,2,Female,Divorced,High School,Canada,BC,Victoria,48.4284,-123.3656,Unemployed,12,0.3684210526,19816.97822,0.5770208234,6,0.7025745354,2
CUST_00014,26,108160,RENT,4,EDUCATION,E,35000,18.39,1,0.32,N,4,Male,Single,Bachelor,USA,California,Los Angeles,34.0522,-118.2437,Self-employed,36,0.3235946746,25502.21951,0.5593770295,14,0.4281051874,1
CUST_00015,23,115000,RENT,2,EDUCATION,A,35000,7.9,0,0.3,N,4,Male,Single,High School,USA,California,San Francisco,37.7749,-122.4194,Self-employed,36,0.3043478261,23157.14946,0.5057143431,5,0.1952505065,0
CUST_00016,23,500000,MORTGAGE,7,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,Female,Married,Bachelor,USA,Texas,Dallas,32.7767,-96.797,Full-time,12,0.06,83241.0251,0.2264820502,9,0.08029767146,1
CUST_00017,23,120000,RENT,0,EDUCATION,A,35000,7.9,0,0.29,N,4,Male,Divorced,High School,USA,New York,New York City,40.7128,-74.006,Full-time,60,0.2916666667,14264.43764,0.4105369804,10,0.3623553359,0
CUST_00018,23,92111,RENT,7,MEDICAL,F,35000,20.25,1,0.32,N,4,Female,Married,Bachelor,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,36,0.3799763329,21845.17042,0.6171376971,8,0.3012899523,0
CUST_00019,23,113000,RENT,8,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,Male,Married,Bachelor,USA,California,Los Angeles,34.0522,-118.2437,Full-time,36,0.3097345133,5971.362009,0.3625784249,11,0.8804390391,1
